NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
4,693,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
1,504,ESCOLA ESTADUAL ALINE PICHETH
176,325,COLÉGIO SENHORA DE FÁTIMA
4,321,ESCOLA MUNICIPAL SAO MIGUEL
174,333,COLÉGIO ADVENTISTA DO ALTO BOQUEIRÃO
176,92,COLÉGIO ESTADUAL JOSÉ BUSNARDO
4,246,ESCOLA MUNICIPAL PAPA JOAO XXIII
177,549,FACULDADE DOM BOSCO
177,624,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
174,227,COLEGIO ESTADUAL SANTO AGOSTINHO
176,325,COLÉGIO SENHORA DE FÁTIMA
4,469,COLEGIO ESTADUAL PEDRO MACEDO
177,548,FACULDADE DOM BOSCO
4,411,ESCOLA MUNICIPAL PROFESSOR ULISSES FALCAO VIEIRA
174,85,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
174,102,COLÉGIO ESTADUAL LUCIA BASTOS
177,115,ESCOLA ESTADUAL GUAIRA
177,468,SOCIEDADE THALIA
3,93,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
4,656,ESCOLA MUNICIPAL NOVA ESPERANCA
177,549,FACULDADE DOM BOSCO
174,102,COLÉGIO ESTADUAL LUCIA BASTOS
145,753,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
177,468,SOCIEDADE THALIA
3,93,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
2,256,COLÉGIO ESTILLO
3,467,ESCOLA MUNICIPAL PROFESSOR JOÃO  MACEDO FILHO
177,550,FACULDADE DOM BOSCO
1,715,ASSOCIAÇÃO EDUCATIVA STELLA MARIS
3,304,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
1,646,CURSO DE COMUNICACÃO SOCIAL DA UFPR
3,685,ESCOLA MUNICIPAL MARUMBI
1,364,ESCOLA ESTADUAL ALINE PICHETH
4,445,ESCOLA MUNICIPAL MORADIAS DO RIBEIRAO
1,698,SETOR DE CIENCIAS AGRARIAS
174,44,ESCOLA MUNICIPAL WENCESLAU BRAZ
174,97,CEI MAESTRO BENTO MOSSURUNGA
174,189,CEI ERICO VERISSIMO
174,120,COLEGIO ERASTO GAERTNER
177,149,COLEGIO SAGRADO CORACAO DE JESUS
145,497,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
1,358,COLEGIO ESTADUAL PROFESSOR LOUREIRO FERNANDES
145,628,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
1,632,ESCOLA MUNICIPAL TANIRA REGINA SCHMIDT
2,318,ESCOLA ESTADUAL SANTA CANDIDA
176,351,COLÉGIO ESTADUAL JOÃO PAULO II
2,507,ESCOLA MUNICIPAL SANTA AGUEDA
145,802,ESCOLA MUNICIPAL PROFESSORA NATHÁLIA DE CONTO COSTA
2,486,COLEGIO ESTADUAL LEONCIO CORREIA
145,461,CEI JOSE LAMARTINE CORREA DE OLIVEIRA LYRA
175,144,ESCOLA MUNICIPAL CEI MONTEIRO LOBATO
145,784,COLEGIO ESTADUAL SAO SEBASTIAO
145,610,ESCOLA MUNICIPAL SAO MATEUS DO SUL
2,98,SOCIEDADE BENEFICENTE DUQUE DE CAXIAS
2,489,ESCOLA MUNICIPAL ERASMO PILOTTO
2,429,ESCOLA ESTADUAL SANTA CANDIDA
145,558,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
145,696,2186-COLEGIO ESTADUAL INEZ VICENTE BOROCZ - 145ªZE - CURITIBA
175,239,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
175,459,ESCOLA MUNICIPAL DO CAIC CANDIDO PORTINARI
1,639,ESCOLA MUNICIPAL TANIRA REGINA SCHMIDT
178,406,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
3,151,ESCOLA MUNICIPAL C.E.I. EVA DA SILVA
176,448,ESCOLA MUNICIPAL JORNALISTA CLAUDIO ABRAMO
3,146,ESCOLA MUNICIPAL C.E.I. EVA DA SILVA
4,528,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
177,688,COLEGIO SAO JOSE
176,341,COLÉGIO ESTADUAL JAYME CANET
1,658,COLEGIO POSITIVO JUNIOR
175,402,ESCOLA MUNICIPAL JOÃO AMAZONAS
145,554,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
3,318,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
175,42,COLÉGIO ESTADUAL IVO LEAO
176,369,ESCOLA MUNICIPAL FRANCISCO DEROSSO
174,51,COLÉGIO NOSSA SENHORA DA ASSUNCAO
175,147,COLÉGIO ESTADUAL IVO LEAO
1,692,COLEGIO ESTADUAL SENADOR MANOEL ALENCAR GUIMARAES
2,296,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
2,210,COLÉGIO PASSIONISTA N. S. MENINA
178,670,ESCOLA ESTADUAL SANTO ANTÔNIO
176,100,ESCOLA MUNICIPAL ELEVIR DIONÍSIO
145,369,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
175,283,CMEI ITACOLOMI SABARA
175,42,COLÉGIO ESTADUAL IVO LEAO
145,673,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
2,476,COLÉGIO ESTILLO
2,583,COLEGIO ESTADUAL  ERMELINO DE LEAO
4,321,ESCOLA MUNICIPAL SAO MIGUEL
174,333,COLÉGIO ADVENTISTA DO ALTO BOQUEIRÃO
177,549,FACULDADE DOM BOSCO
177,624,ESCOLA MUNICIPAL ITACELINA BITTENCOURT
3,512,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
3,92,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
2,64,COLEGIO ESTADUAL LEONCIO CORREIA
2,185,COLEGIO NOSSA SENHORA DO ROSARIO
2,447,COLEGIO ESTADUAL CECILIA MEIRELES
1,460,COLÉGIO ADVENTISTA BOM RETIRO (PARTICULAR)
176,537,ESCOLA CEC
2,256,COLÉGIO ESTILLO
176,516,ESCOLA MUNICIPAL JARDIM EUROPA
3,427,ESCOLA MUNICIPAL ELZA LERNER
3,614,ESCOLA MUNICIPAL ELZA LERNER
1,400,ESCOLA MUNICIPAL PROFESSOR BRANDAO
178,115,COLÉGIO ESTADUAL ÂNGELO VOLPATO
176,429,ESCOLA MUNICIPAL PARANAVAÍ
177,179,COLÉGIO POSITIVO (ÁGUA VERDE)
178,383,ESCOLA MUNICIPAL PARANAGUÁ
3,610,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
2,350,ESCOLA ESTADUAL DONA BRANCA DO NASCIMENTO MIRANDA
1,543,COLEGIO ESTADUAL GELVIRA CORREA PACHECO
2,521,ESCOLA ESTADUAL DONA BRANCA DO NASCIMENTO MIRANDA
175,461,COLÉGIO ESTADUAL PROFESSORA MARLI QUEIROZ AZEVEDO
145,724,2186-COLEGIO ESTADUAL INEZ VICENTE BOROCZ - 145ªZE - CURITIBA
3,455,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
3,60,COLÉGIO ESTADUAL NATÁLIA REGINATO
174,142,ESCOLA MUNICIPAL NIVALDO BRAGA
1,619,ESCOLA MUNICIPAL CEI PROFESSOR  JOSE WANDERLEY DIAS
2,286,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
178,423,CURSO E COLÉGIO ACESSO
4,617,COLEGIO ESTADUAL TEOTONIO VILELA
3,163,COLÉGIO ESTADUAL PROFESSORA MARIA AGUIAR TEIXEIRA
2,299,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
177,734,COLÉGIO ESTADUAL PAULO LEMINSKI
1,118,COLEGIO ESTADUAL ANGELO TREVISAN
177,373,ESCOLA MUNICIPAL DESEMBARGADOR MARCAL JUSTEN
178,500,COLÉGIO MARISTA PARANAENSE
145,571,1546 - ESCOLA MUNICIPAL MARINGA - 145ªZE - CURITIBA
178,274,ESCOLA ESTADUAL PADRE COLBACCHINI
3,91,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
174,227,COLEGIO ESTADUAL SANTO AGOSTINHO
176,325,COLÉGIO SENHORA DE FÁTIMA
3,652,ESCOLA ESTADUAL PROFESSOR NILO BRANDÃO
4,469,COLEGIO ESTADUAL PEDRO MACEDO
177,548,FACULDADE DOM BOSCO
174,85,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
177,115,ESCOLA ESTADUAL GUAIRA
177,468,SOCIEDADE THALIA
3,93,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
4,411,ESCOLA MUNICIPAL PROFESSOR ULISSES FALCAO VIEIRA
145,343,COLEGIO ESTADUAL LA SALLE
2,394,GRUPO DE ESCOTEIROS SAO LUIZ DE GONZAGA
4,656,ESCOLA MUNICIPAL NOVA ESPERANCA
1,404,COLEGIO ESTADUAL SANTA GEMMA GALGANI
178,562,ESCOLA SANTA TERESINHA DO MENINO JESUS
175,142,ESCOLA MUNICIPAL DONA POMPILIA
176,369,ESCOLA MUNICIPAL FRANCISCO DEROSSO
177,257,COLEGIO SAGRADO CORACAO DE JESUS
177,543,COLEGIO BOM JESUS (ÁGUA VERDE)
175,333,ESCOLA ESTADUAL GUILHERME PEREIRA NETO
175,147,COLÉGIO ESTADUAL IVO LEAO
1,692,COLEGIO ESTADUAL SENADOR MANOEL ALENCAR GUIMARAES
2,296,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
175,278,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
4,341,FACULDADE PADRE JOÃO BAGOZZI (PARTICULAR)
174,16,COLÉGIO ESTADUAL PROFESSORA LUIZA ROSS
3,496,ESCOLA MUNICIPAL C.E.I.  RITTA ANNA DE CÁSSIA
177,738,COLÉGIO ESTADUAL PAULO LEMINSKI
3,664,ESCOLA MUNICIPAL PROFESSORA MARIA DE LOURDES LAMAS PEGORARO
177,555,FACULDADE DOM BOSCO
177,519,COLEGIO BOM JESUS (CENTRO)
4,465,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
4,309,ESCOLA MUNICIPAL SAO MIGUEL
2,415,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
177,654,ESCOLA ESTADUAL NOSSA SENHORA DE FÁTIMA
3,79,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
177,171,ESCOLA ESTADUAL JOAO TURIN
174,170,ESCOLA SEBASTIAO PARANA
145,356,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
3,546,ESCOLA MUNICIPAL MICHEL KHURY
145,774,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
145,730,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
2,63,COLEGIO ESTADUAL LEONCIO CORREIA
177,407,ESCOLA MUNICIPAL SÃO LUIZ
4,338,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
174,12,ESCOLA  MUNICIPAL LAPA
1,483,ESCOLA MUNICIPAL  DUILIO CALDERARI
2,427,COLÉGIO PASSIONISTA N. S. MENINA
175,135,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
177,121,OPET - ORGANIZACAO PARANAENSE DE ENSINO TECNICO
174,362,CEI PROFESSORA MARIA AUGUSTA JOUVE
3,391,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
177,105,ESCOLA ESTADUAL LAMENHA LINS
3,668,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
174,166,CEEP CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DE CURITIBA
176,86,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
2,94,SOCIEDADE BENEFICENTE DUQUE DE CAXIAS
1,149,COLÉGIO CATÓLICA DE CURITIBA
176,311,ESCOLA CEC
145,619,1937 - ESCOLA MUNICIPAL PAULO FREIRE - 145ª ZE - CURITIBA
178,724,COLÉGIO ESTADUAL PARA SURDOS ALCINDO FANAYA JUNIOR
145,509,1546 - ESCOLA MUNICIPAL MARINGA - 145ªZE - CURITIBA
3,588,ESCOLA MUNICIPAL PREFEITO LINNEU FERREIRA DO AMARAL
174,382,UFPR - CENTRO POLITÉCNICO
177,643,COLÉGIO ESTADUAL PROFESSOR ELIAS ABRAHÃO
178,110,COLÉGIO IMACULADA CONCEIÇÃO
4,253,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL NICE BRAGA
177,614,COLEGIO SAO JOSE
177,528,ESCOLA MUNICIPAL BATEL (ESCOLA ESTADUAL DEZENOVE DE DEZEMBRO)
177,257,COLEGIO SAGRADO CORACAO DE JESUS
176,232,ESCOLA GRACE (ANTIGA FACULDADE SANTA CRUZ - CAMPUS BONAT)
4,523,COLEGIO ESTADUAL TEOTONIO VILELA
3,59,ESCOLA MUNICIPAL PREFEITO LINNEU FERREIRA DO AMARAL
176,368,ESCOLA MUNICIPAL FRANCISCO DEROSSO
174,378,UFPR - CENTRO POLITÉCNICO
174,394,UFPR - CENTRO POLITÉCNICO
178,530,COLÉGIO BOM JESUS - SEMINÁRIO (ANTIGO NOVO ATENEU)
174,388,UFPR - CENTRO POLITÉCNICO
175,49,ESCOLA MUNICIPAL CEI MONTEIRO LOBATO
177,364,ESCOLA MUNICIPAL DESEMBARGADOR MARCAL JUSTEN
175,236,ESCOLA MUNICIPAL CEI MONTEIRO LOBATO
175,232,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
175,137,ESCOLA MUNICIPAL JOAQUIM TAVORA
1,523,COLEGIO INTEGRAL (PARTICULAR)
145,326,ESCOLA MUNICIPAL DE EDUCAÇÃO ESPECIAL TOMAZ EDISON ANDRADE VIEIRA
4,193,COLEGIO ESTADUAL PAULA GOMES
1,563,ESCOLA MUNICIPAL CEI PROFESSOR  JOSE WANDERLEY DIAS
4,203,COLEGIO ESTADUAL PAULA GOMES
174,225,COLEGIO ERASTO GAERTNER
145,748,1783 - CEI CARLOS DRUMMOND DE ANDRADE - 145ºZE - CURITIBA
2,613,COLEGIO POSITIVO BOA VISTA
176,354,COLÉGIO ESTADUAL JOÃO PAULO II
3,511,COLEGIO ESTADUAL MÁXIMO ATÍLIO ASINELLI
4,432,COLEGIO ESTADUAL PEDRO MACEDO
174,232,CEI PROFESSORA MARIA AUGUSTA JOUVE
175,470,COLÉGIO ESTADUAL TATUQUARA - EFM
