NR_ZONA,NR_SECAO,NM_LOCAL_VOTACAO
174,344,SESI BOQUEIRÃO
3,474,ESCOLA MUNICIPAL ELZA LERNER
176,149,COLÉGIO ESTADUAL CÍVICO MILITAR YVONE PIMENTEL
174,279,COLEGIO PROFESSOR VICTOR DO AMARAL
174,212,ESCOLA MUNICIPAL PROFESSOR GERMANO PARCIORNIK
4,496,ESCOLA MUNICIPAL PAPA JOAO XXIII
177,511,COLEGIO BOM JESUS (CENTRO)
145,792,2232 - ESCOLA MUNICIPAL DONA LULU - 145ºZE-CURITIBA
174,149,COLÉGIO ESTADUAL POLIVALENTE DE CURITIBA
2,506,ESCOLA MUNICIPAL ERASMO PILOTTO
2,588,ESCOLA MUNICIPAL PROFESSOR RICARDO KRIEGER
178,375,FACULDADE EVANGÉLICA MACKENZIE DO PARANÁ
174,295,COLEGIO ERASTO GAERTNER
4,448,ESCOLA MUNICIPAL SIDONIO MURALHA
145,301,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
178,120,COLÉGIO ESTADUAL PROFESSOR FRANCISCO ZARDO
145,624,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
177,420,COLÉGIO ESTADUAL HILDEBRANDO DE ARAÚJO
1,657,COLEGIO POSITIVO JUNIOR
145,804,2283 - COLEGIO NOVO EDEN - 145ª ZE - CURITIBA
176,358,ESCOLA MUNICIPAL DAVID CARNEIRO
178,683,ESCOLA MUNICIPAL CEI PADRE FRANCISCO MESZNER
1,657,COLEGIO POSITIVO JUNIOR
1,753,ESCOLA ESTADUAL PROFESSOR CLETO
2,104,COLÉGIO MADALENA SOFIA
176,171,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
2,536,SALAO DA IGREJA DE SANTA CANDIDA
176,86,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
2,277,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
2,277,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
2,277,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
4,499,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
178,491,ESCOLA MUNICIPAL CEI RAOUL WALLENBERG
178,507,ESCOLA ESTADUAL HELENA DIONYSIO
145,367,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
145,725,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
178,551,INSTITUTO PARANAENSE DOS CEGOS
145,362,ESCOLA MUNICIPAL PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA
2,571,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
2,571,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
176,395,ESCOLA MUNICIPAL CASTRO
4,690,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
175,215,ESCOLA MUNICIPAL ALBERT SCHWEITZER
1,642,ESCOLA MUNICIPAL PROFESSOR BRANDAO
2,125,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
175,265,COLÉGIO ESTADUAL PROFESSORA DIRCE CELESTINO DO AMARAL
175,443,ESCOLA MUNICIPAL HELENA KOLODY
1,644,CURSO DE COMUNICACÃO SOCIAL DA UFPR
175,11,ESCOLA MUNICIPAL MANSUR GUERIOS
1,190,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETO
176,384,ESCOLA MUNICIPAL IVAIPORÃ
3,622,PARÓQUIA SÃO PAULO APÓSTOLO
174,366,COLEGIO ADVENTISTA DO BOQUEIRAO
3,66,COLÉGIO ESTADUAL NATÁLIA REGINATO
177,542,COLEGIO BOM JESUS (ÁGUA VERDE)
175,288,ESCOLA MUNICIPAL DONA POMPILIA
176,549,ESCOLA MUNICIPAL ELEVIR DIONÍSIO
1,492,ESCOLA ESTADUAL ERNANI VIDAL
1,722,CENTRO REDENTORISTA SANTO AFONSO
175,217,ESCOLA MUNICIPAL DOM BOSCO
1,544,ESCOLA ESTADUAL ERNANI VIDAL
2,77,ESCOLA MUNICIPAL ENY CALDEIRA
2,72,COLEGIO ESTADUAL LEONCIO CORREIA
2,126,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
175,381,CMEI ITACOLOMI SABARA
176,185,ESCOLA MUNICIPAL MADRE MARIA DOS ANJOS
2,338,COLEGIO ESTADUAL CECILIA MEIRELES
174,19,COLÉGIO ESTADUAL PROFESSORA LUIZA ROSS
145,539,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
176,231,ESCOLA MUNICIPAL MADRE MARIA DOS ANJOS
175,332,COLÉGIO ESTADUAL NIRLEI MEDEIROS
4,275,ESCOLA MUNICIPAL PROFESSOR FRANCISCO KLENTZ
176,272,UNISANTA CRUZ - CAMPUS SEDE
1,640,COLEGIO MARISTA SANTA MARIA (PARTICULAR)
175,267,COLEGIO ESTADUAL MORADIAS MONTEIRO LOBATO
2,284,ESCOLA ESTADUAL NOSSA SENHORA DA SALETE (ANTIGO COLÉGIO AMANCIO MORO)
2,203,ESCOLA MUNICIPAL CARAMURU
145,650,ESCOLA MUNICIPAL PAULO ROGERIO GUIMARAES ESMANHOTO
175,118,ESCOLA MUNICIPAL CEI PROFESSOR ANTONIO PIETRUZA
2,513,ESCOLA MUNICIPAL ARAUCARIA
145,372,ESCOLA MUNICIPAL PROFESSORA AUGUSTA GLUCK RIBAS
145,755,COLEGIO ESTADUAL LUIZ CARLOS PAULA E SOUZA
178,692,COLÉGIO ESTADUAL PARA SURDOS ALCINDO FANAYA JUNIOR
145,814,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
2,65,COLEGIO ESTADUAL LEONCIO CORREIA
177,330,UNICURITIBA (CENTRO UNIVERSITÁRIO CURITIBA)
1,735,ESCOLA MADRE ANATOLIA
177,721,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
174,275,COLÉGIO ESTADUAL MILTON CARNEIRO
176,92,COLÉGIO ESTADUAL JOSÉ BUSNARDO
4,246,ESCOLA MUNICIPAL PAPA JOAO XXIII
178,519,FACULDADE PARANAENSE - FAPAR
3,644,ESCOLA MUNICIPAL MARUMBI
178,487,ESCOLA MUNICIPAL CEI PEDRO DALLABONA
178,715,ESCOLA ESTADUAL DE EDUCAÇÃO ESPECIAL LUCY REQUIÃO MELLO E SILVA
145,671,COLÉGIO ESTADUAL PROFESSORA ISABEL LOPES SANTOS SOUZA
145,314,1562 - ESCOLA MUNICIPAL PIRATINI
175,236,ESCOLA MUNICIPAL CEI MONTEIRO LOBATO
175,232,ESCOLA MUNICIPAL PROFESSOR DARCY RIBEIRO
175,425,ESCOLA MUNICIPAL RIO BONITO
174,275,COLÉGIO ESTADUAL MILTON CARNEIRO
177,707,PONTIFICIA UNIVERSIDADE CATOLICA DO PARANÁ (PUC/PR)
3,316,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
174,333,COLÉGIO ADVENTISTA DO ALTO BOQUEIRÃO
177,188,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
1,679,COLEGIO DOM BOSCO
175,413,ESCOLA MUNICIPAL JOÃO AMAZONAS
178,700,ESCOLA MUNICIPAL VEREADOR JOÃO STIVAL
178,715,ESCOLA ESTADUAL DE EDUCAÇÃO ESPECIAL LUCY REQUIÃO MELLO E SILVA
178,298,COLÉGIO ESTADUAL ÂNGELO VOLPATO
178,386,COLÉGIO SION
178,361,COLÉGIO ESTADUAL JÚLIA WANDERLEY
4,631,ESCOLA MUNICIPAL PADRE JOÃO CRUCIANI
174,371,COLÉGIO NOSSA SENHORA DA ASSUNCAO
4,573,ESCOLA MUNICIPAL JARDIM SANTOS ANDRADE
4,243,ESCOLA MUNICIPAL PAPA JOAO XXIII
4,474,COLEGIO ESTADUAL PAULA GOMES
3,523,COLÉGIO ESTADUAL ANÍBAL KHURY NETO
178,486,ESCOLA MUNICIPAL CEI PEDRO DALLABONA
4,549,UNIVERSIDADE POSITIVO
1,402,ESCOLA MUNICIPAL PROFESSOR BRANDAO
177,193,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
177,337,ESCOLA MUNICIPAL SÃO LUIZ
174,376,ESCOLA MUNICIPAL PROF CARMEN SALOMAO TEIXEIRA
4,244,ESCOLA MUNICIPAL PAPA JOAO XXIII
177,350,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
3,530,COLÉGIO ESTADUAL ALFREDO PARODI
178,380,ESCOLA MUNICIPAL PARANAGUÁ
178,338,ESCOLA BAMBINATA
4,583,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
177,596,SETOR DE CIÊNCIAS HUMANAS DA UNIVERSIDADE FEDERAL DO PARANA
3,99,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
1,476,CLUBE CURITIBANO SEDE CONCORDIA
1,475,CLUBE CURITIBANO SEDE CONCORDIA
178,384,ESCOLA MUNICIPAL PARANAGUÁ
176,393,ESCOLA MUNICIPAL CASTRO
1,489,ESCOLA ESTADUAL ERNANI VIDAL
178,392,COLÉGIO SION
1,476,CLUBE CURITIBANO SEDE CONCORDIA
2,628,COLEGIO POSITIVO BOA VISTA
178,384,ESCOLA MUNICIPAL PARANAGUÁ
145,824,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
145,672,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
174,283,CEEP CENTRO ESTADUAL DE EDUCAÇÃO PROFISSIONAL DE CURITIBA
176,293,ESCOLA MUNICIPAL MARIA CLARA BRANDÃO TESSEROLLI
174,157,CEI PROFESSORA TEREZA MATSUMOTO
2,209,COLÉGIO PASSIONISTA N. S. MENINA
3,643,ESCOLA MUNICIPAL C.E.I. ISSA NACLI
177,362,ESCOLA ESTADUAL LAMENHA LINS
176,441,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
1,377,COLEGIO BOM JESUS DIVINA PROVIDENCIA (PARTICULAR)
178,416,COLÉGIO ESTADUAL SÃO BRAZ
176,108,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
176,558,COLÉGIO SENHORA DE FÁTIMA
3,441,ESCOLA ESTADUAL REPÚBLICA ORIENTAL DO URUGUAI
177,618,COLEGIO SAO JOSE
176,109,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
4,413,ESCOLA MUNICIPAL PROFESSOR ULISSES FALCAO VIEIRA
4,700,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
176,116,COLÉGIO ESTADUAL DOM ÁTTICO EUSÉBIO DA ROCHA
177,131,ESCOLA MUNICIPAL DESEMBARGADOR MARCAL JUSTEN
175,431,ESCOLA MUNICIPAL HELENA KOLODY
145,341,ESCOLA MUNICIPAL SAO MATEUS DO SUL
2,415,ESCOLA MUNICIPAL AUGUSTO CESAR SANDINO
145,356,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
3,463,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
1,763,ESCOLA VICENTINA NOSSA SENHORA DAS MERCES
178,506,ESCOLA ESTADUAL HELENA DIONYSIO
178,651,COLÉGIO ESTADUAL DOMINGOS ZANLORENZI
4,392,ESCOLA ESTADUAL MONSENHOR IVO ZANLORENZI
4,381,FUNDACAO DE AÇÃO SOCIAL DO CAMPO COMPRIDO - FAS (MUNICIPAL)
3,306,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
178,719,ESCOLA BAMBINATA
1,118,COLEGIO ESTADUAL ANGELO TREVISAN
1,533,COLEGIO MARTINUS (PARTICULAR)
177,757,COLEGIO ESTADUAL DO PARANA
176,442,COLÉGIO ESTADUAL HOMERO BAPTISTA DE BARROS
1,396,ESCOLA MUNICIPAL PROFESSOR BRANDAO
177,726,COLÉGIO DECISIVO DO CRISTO REI - SUBSEDE I
176,539,COLÉGIO SOCIAL MADRE CLELIA
178,149,COLÉGIO ESTADUAL SANTA FELICIDADE
175,416,ESCOLA MUNICIPAL SANTA ANA MESTRA
178,711,PARÓQUIA SÃO JOSÉ TRABALHADOR
177,582,FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO PARANA
178,602,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
178,335,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
178,499,COLÉGIO MARISTA PARANAENSE
3,551,ESCOLA MUNICIPAL GUILHERME LACERDA BRAGA SOBRINHO
3,595,ESCOLA BANDEIRANTES
1,524,COLEGIO ESTADUAL PROFESSOR LOUREIRO FERNANDES
175,164,COLÉGIO ESTADUAL PROFESSOR ALCYONE MORAES DE CASTRO VELLOZO
174,356,ESCOLA  MUNICIPAL LAPA
176,300,ESCOLA GRACE (ANTIGA FACULDADE SANTA CRUZ - CAMPUS BONAT)
175,405,ESCOLA MUNICIPAL RIO BONITO
2,80,ESCOLA MUNICIPAL ENY CALDEIRA
175,25,COLÉGIO ESTADUAL PROFESSOR ALCYONE MORAES DE CASTRO VELLOZO
2,424,ESCOLA MUNICIPAL JAGUARIAIVA
175,230,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
2,583,COLEGIO ESTADUAL  ERMELINO DE LEAO
176,533,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
2,614,COLEGIO POSITIVO BOA VISTA
2,394,GRUPO DE ESCOTEIROS SAO LUIZ DE GONZAGA
145,673,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
176,256,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
145,359,1627 - CEI PROFESSOR JOSE CAVALLIN - 145ª ZE - CURITIBA
145,588,1805 - ESCOLA MUNICIPAL SADY SOUSA - 145 ZE - CURITIBA
2,302,ESCOLA MUNICIPAL RAUL GELBECK
174,135,ESCOLA MUNICIPAL LEONOR CASTELLANO
177,162,COLEGIO SAGRADO CORACAO DE JESUS
3,105,ESCOLA ESTADUAL SANTA ROSA
174,336,COLÉGIO ESTADUAL POLIVALENTE DE CURITIBA
178,463,COLÉGIO MARISTA PARANAENSE
4,516,ESCOLA MUNICIPAL PAPA JOAO XXIII
178,354,COLÉGIO ESTADUAL JÚLIA WANDERLEY
3,590,ESCOLA MUNICIPAL PROFESSORA DONATILA CARON DOS ANJOS
178,515,ESCOLA ESTADUAL DOM ORIONE ( ANTIGA ESC. EST.  NILSON BATISTA RIBAS)
174,350,SESI BOQUEIRÃO
178,602,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
178,584,ESCOLA MUNICIPAL WALTER HOERNER
4,451,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
178,408,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
177,161,ESCOLA ESTADUAL BARAO DO RIO BRANCO
178,499,COLÉGIO MARISTA PARANAENSE
4,420,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
3,659,ESCOLA MUNICIPAL RACHEL MADER GONÇALVES
176,390,ESCOLA MUNICIPAL PROFESSOR LEONEL MORO
2,566,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
177,763,COLEGIO ESTADUAL DO PARANA
177,763,COLEGIO ESTADUAL DO PARANA
177,407,ESCOLA MUNICIPAL SÃO LUIZ
4,630,UNIVERSIDADE POSITIVO
4,630,UNIVERSIDADE POSITIVO
1,625,COLEGIO ESTADUAL ANGELO TREVISAN
4,231,COLEGIO (PARTICULAR) PADRE JOAO BAGOZZI
178,497,COLÉGIO MARISTA PARANAENSE
4,577,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
2,108,COLÉGIO MADALENA SOFIA
175,34,ESCOLA MUNICIPAL DOM BOSCO
2,121,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
174,365,ESCOLA MUNICIPAL PROFESSOR GUILHERME BUTLER
178,422,CURSO E COLÉGIO ACESSO
1,731,CENTRO REDENTORISTA SANTO AFONSO
145,517,COLÉGIO ESTADUAL PROFESSORA ISABEL LOPES SANTOS SOUZA
145,691,1910 - ESCOLA MADRE TERESA DE CALCUTA - 145ªZE - CURITIBA
145,517,COLÉGIO ESTADUAL PROFESSORA ISABEL LOPES SANTOS SOUZA
2,205,COLÉGIO PASSIONISTA N. S. MENINA
2,211,COLÉGIO PASSIONISTA N. S. MENINA
175,271,ESCOLA MUNICIPAL DONA POMPILIA
175,34,ESCOLA MUNICIPAL DOM BOSCO
145,747,2186-COLEGIO ESTADUAL INEZ VICENTE BOROCZ - 145ªZE - CURITIBA
177,521,COLEGIO BOM JESUS (CENTRO)
175,260,COLÉGIO ESTADUAL DESEMBARGADOR GUILHERME DE ALBUQUERQUE MARANHAO
1,731,CENTRO REDENTORISTA SANTO AFONSO
145,366,ESCOLA MUNICIPAL PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA
175,34,ESCOLA MUNICIPAL DOM BOSCO
177,115,ESCOLA ESTADUAL GUAIRA
178,491,ESCOLA MUNICIPAL CEI RAOUL WALLENBERG
178,409,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
4,640,ESCOLA MUNICIPAL GRACILIANO RAMOS
4,690,ESCOLA MUNICIPAL PADRE JOSE DE ANCHIETA
1,642,ESCOLA MUNICIPAL PROFESSOR BRANDAO
176,137,ESCOLA MUNICIPAL ARAPONGAS
175,116,ESCOLA MUNICIPAL CEI PROFESSOR ANTONIO PIETRUZA
1,363,ESCOLA ESTADUAL ALINE PICHETH
2,449,ESCOLA MUNICIPAL ENY CALDEIRA
3,344,ESCOLA ESTADUAL SÃO PAULO APÓSTOLO
145,829,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
2,68,COLEGIO ESTADUAL LEONCIO CORREIA
175,135,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
177,295,COLEGIO SAGRADO CORACAO DE JESUS
178,542,PARÓQUIA SANTA ISABEL
145,356,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
175,135,COLÉGIO ESTADUAL PROFESSOR BRASILIO VICENTE DE CASTRO
174,354,SESI BOQUEIRÃO
177,383,ESCOLA MUNICIPAL SÃO LUIZ
4,312,ESCOLA MUNICIPAL SAO MIGUEL
145,537,ESCOLA MUNICIPAL PROFESSOR PEDRO VIRIATO PARIGOT DE SOUZA
145,730,2178 - COLEGIO ESTADUAL FLAVIO FERREIRA DA LUZ - 145ª ZE - CURITIBA
3,685,ESCOLA MUNICIPAL MARUMBI
174,118,COLEGIO ERASTO GAERTNER
174,233,CEI ERICO VERISSIMO
3,513,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
177,179,COLÉGIO POSITIVO (ÁGUA VERDE)
176,526,COLÉGIO ESTADUAL CÍVICO MILITAR YVONE PIMENTEL
174,234,COLÉGIO ESTADUAL MILTON CARNEIRO
3,468,COLEGIO ESTADUAL MÁXIMO ATÍLIO ASINELLI
178,147,COLÉGIO IMACULADA CONCEIÇÃO
177,514,COLEGIO BOM JESUS (CENTRO)
178,429,ESCOLA MUNICIPAL CAMPO MOURÃO
4,677,COLEGIO ESTADUAL AVELINO ANTONIO VIEIRA
178,700,ESCOLA MUNICIPAL VEREADOR JOÃO STIVAL
175,383,COLEGIO ESTADUAL MORADIAS MONTEIRO LOBATO
174,229,COLÉGIO ESTADUAL POLIVALENTE DE CURITIBA
3,640,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
2,430,ESCOLA ESTADUAL SANTA CANDIDA
4,542,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
174,317,CEI PROFESSORA MARIA AUGUSTA JOUVE
145,671,COLÉGIO ESTADUAL PROFESSORA ISABEL LOPES SANTOS SOUZA
145,312,1562 - ESCOLA MUNICIPAL PIRATINI
145,510,1651 - ESCOLA MUNICIPAL RIO NEGRO - 145ªZE - CURITIBA
145,765,2240-COLEGIO ESTADUAL PROFESSOR GUIDO ARZUA - 145ªZE - CURITIBA
145,314,1562 - ESCOLA MUNICIPAL PIRATINI
175,245,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
2,125,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
174,270,ESCOLA MUNICIPAL PROFESSOR FRANCISCO HUBERT
174,223,COLEGIO ESTADUAL ROBERTO LANGER JUNIOR
174,269,COLÉGIO ESTADUAL PAULINA PACIFICO BORSARI
2,514,ESCOLA MUNICIPAL ERASMO PILOTTO
145,573,1813 - COLEGIO ESTADUAL BENEDICTO JOAO CORDEIRO - 145 ª ZE - CURITIBA
175,119,ESCOLA MUNICIPAL MARGARIDA ORSO DALLAGASSA
2,452,ESCOLA ESTADUAL SANTA CANDIDA
174,107,COLÉGIO ESTADUAL LUCIA BASTOS
174,107,COLÉGIO ESTADUAL LUCIA BASTOS
145,293,COLEGIO ESTADUAL LA SALLE
175,314,COLÉGIO ESTADUAL NIRLEI MEDEIROS
2,56,ESCOLA MUNICIPAL ANISIO TEIXEIRA
145,501,COLEGIO ESTADUAL PADRE CLAUDIO MORELLI
1,428,ESCOLA MUNICIPAL JULIA AMARAL DI LENNA
176,269,COLÉGIO ESTADUAL NEWTON FERREIRA DA COSTA
4,674,COLEGIO ESTADUAL AVELINO ANTONIO VIEIRA
145,828,COLEGIO ESTADUAL LUIZ CARLOS PAULA E SOUZA
145,674,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
175,400,ESCOLA MUNICIPAL ALVARO BORGES
2,75,ESCOLA MUNICIPAL ENY CALDEIRA
145,351,1619 - COLEGIO ESTADUAL HASDRUBAL BELLEGARD - 145ª ZE - CURITIBA
177,581,FACULDADE DE DIREITO DA UNIVERSIDADE FEDERAL DO PARANA
176,168,ESCOLA MUNICIPAL PROFESSORA NAIR DE MACEDO
3,646,ESCOLA MUNICIPAL CORONEL DURIVAL BRITTO E SILVA
175,398,ESCOLA MUNICIPAL PROFESSOR DARIO PERSIANO DE CASTRO VELLOZO
145,687,ESCOLA MUNICIPAL PROFESSORA MIRACY RODRIGUES DE ARAUJO
175,313,COLEGIO ESTADUAL EURIDES BRANDAO
3,134,ESCOLA MUNICIPAL PROFESSOR ENÉAS MARQUES DOS SANTOS
175,46,ESCOLA MUNICIPAL JOAQUIM TAVORA
177,562,COLÉGIO BOM JESUS - NOSSA SENHORA DE LOURDES (CRISTO REI)
3,357,ESCOLA ESTADUAL DEPUTADO OLÍVIO BELICH
177,532,ESCOLA MUNICIPAL BATEL (ESCOLA ESTADUAL DEZENOVE DE DEZEMBRO)
4,205,ASPP - ASSOCIACAO DOS SERVIDORES PUBLICOS DO PARANA
174,203,COLEGIO ADVENTISTA DO BOQUEIRAO
177,303,OPET - ORGANIZACAO PARANAENSE DE ENSINO TECNICO
3,568,CRECHE MUNICIPAL TRINDADE
2,77,ESCOLA MUNICIPAL ENY CALDEIRA
2,126,ESCOLA DUNAMYS ENSINO FUNDAMENTAL (PARTICULAR)
177,320,COLÉGIO STELLA MARIS (AGUA VERDE)
175,380,ESCOLA MUNICIPAL SANTA ANA MESTRA
178,416,COLÉGIO ESTADUAL SÃO BRAZ
4,237,COLEGIO ESTADUAL PEDRO MACEDO
174,67,COLÉGIO ESTADUAL ISOLDA SCHMID
178,441,COLÉGIO ARQUIDIOCESANO DE CURITIBA
177,143,ESCOLA ESTADUAL PROFESSOR LYSIMACO FERREIRA DA COSTA
2,63,COLEGIO ESTADUAL LEONCIO CORREIA
178,579,COLÉGIO POSITIVO
174,24,ESCOLA MUNICIPAL PROFESSOR GERMANO PARCIORNIK
176,86,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
176,86,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
3,101,ESCOLA MUNICIPAL PREFEITO OMAR SABBAG
174,59,COLÉGIO ESTADUAL PAULINA PACIFICO BORSARI
1,329,ESCOLA MUNICIPAL HERLEY MEHL
178,592,ESCOLA MUNICIPAL ESPECIALIZADA ALI BARK
175,463,ESCOLA MUNICIPAL NEWTON BORGES DOS REIS
176,86,COLÉGIO ESTADUAL JOÃO DE OLIVEIRA FRANCO
175,223,ESCOLA MUNICIPAL ALBERT SCHWEITZER
3,645,ESCOLA MUNICIPAL PROFESSORA MARIA MARLI PIOVEZAN
3,468,COLEGIO ESTADUAL MÁXIMO ATÍLIO ASINELLI
178,584,ESCOLA MUNICIPAL WALTER HOERNER
4,269,ESCOLA ESTADUAL MARECHAL CANDIDO RONDON
4,628,COLEGIO ESTADUAL TEOTONIO VILELA
177,176,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
174,302,COLÉGIO ESTADUAL EUZEBIO DA MOTTA
175,189,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
178,716,COLÉGIO ESTADUAL PARA SURDOS ALCINDO FANAYA JUNIOR
174,69,COLÉGIO ESTADUAL ISOLDA SCHMID
178,303,ESCOLA MUNICIPAL PROFESSORA SÔNIA MARIA COIMBRA KENSKI
174,339,SESI BOQUEIRÃO
178,140,PARÓQUIA N. SENHORA DA CONCEIÇÃO (PARÓQUIA BUTIATUVINHA)
3,640,ESCOLA MUNICIPAL AYRTON SENNA DA SILVA
178,587,ESCOLA MUNICIPAL WALTER HOERNER
178,523,ESCOLA MUNICIPAL CEI PROFESSOR JÚLIO MOREIRA
4,542,ESCOLA MUNICIPAL PROFESSORA MARIA DO CARMO MARTINS
4,683,COLEGIO ESTADUAL AVELINO ANTONIO VIEIRA
177,454,COLEGIO DECISIVO (CENTRO)
178,398,UNIVERSIDADE TUIUTI DO PARANÁ (CAMPUS BARIGUI)
3,168,COLÉGIO ESTADUAL PROFESSORA MARIA AGUIAR TEIXEIRA
174,97,CEI MAESTRO BENTO MOSSURUNGA
174,120,COLEGIO ERASTO GAERTNER
177,155,CLUBE CURITIBANO (SEDE ADMINISTRATIVA)
3,307,COLÉGIO ESTADUAL CONSELHEIRO CARRÃO
176,329,COLÉGIO ESTADUAL JAYME CANET
174,44,ESCOLA MUNICIPAL WENCESLAU BRAZ
1,501,COLEGIO MARTINUS (PARTICULAR)
2,571,COLEGIO ESTADUAL PROFESSOR ALGACYR MUNHOZ MAEDER
176,316,COLÉGIO STELLA MARIS XAXIM
176,395,ESCOLA MUNICIPAL CASTRO
4,546,COLEGIO ESTADUAL PROTASIO DE CARVALHO
145,494,ESCOLA MUNICIPAL PROFESSORA REJANE MARIA SILVEIRA SACHETTE
176,338,COLÉGIO ESTADUAL JAYME CANET
178,132,ESCOLA MUNICIPAL FOZ DO IGUACU
177,437,COLÉGIO POSITIVO - JARDIM AMBIENTAL
3,472,ESCOLA MUNICIPAL IRATI
1,380,COLEGIO BOM JESUS DIVINA PROVIDENCIA (PARTICULAR)
177,755,COLEGIO ESTADUAL DO PARANA
1,761,ESCOLA VICENTINA NOSSA SENHORA DAS MERCES
145,299,1538 - CEI FRANCISCO FRISCHMANN - 145ºZE-CURITIBA
2,536,SALAO DA IGREJA DE SANTA CANDIDA
175,388,COLÉGIO ESTADUAL ARLINDO CARVALHO DE AMORIM
2,85,ESCOLA MUNICIPAL JAGUARIAIVA
1,649,CURSO DE COMUNICACÃO SOCIAL DA UFPR
1,194,COLEGIO ESTADUAL BENTO MUNHOZ DA ROCHA NETO
2,307,ESCOLA ESTADUAL SANTA CANDIDA
2,504,COLÉGIO PASSIONISTA N. S. MENINA
